company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
lockstar locksmith ltd,,Garage Doors Installation Repair,Birmingham,,4.5,65,,ratings; memberSince,Locksmith; Security systems / Alarms,Birmingham,https://www.ratedpeople.com/profile/lockstar-locksmith,ratedpeople
Cornel Ilea,,Garage Doors Installation Repair,,,10,64,,,,,https://www.ratedpeople.com/profile/cornel-ilea,ratedpeople
Fullerton Property Maintenance,,Garage Doors Installation Repair,London,,5,65,07831684633,ratings; memberSince,Handyperson; Bathroom fitter; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Kitchen Specialist; Locksmith; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/fullertonpropertymaintenance,ratedpeople
goldsmith building services,,Garage Doors Installation Repair,London,,5,61,07508898727,ratings; memberSince,Carpenter / Joiner; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/goldsmith-building-services,ratedpeople
SLF LOCKSMITH AND CARPENTRY LTD,,Garage Doors Installation Repair,Kings Langley,,5,61,,ratings; memberSince,Carpenter / Joiner; Blacksmith / Metal worker; Builder; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plumber; Roofer; Security systems / Alarms; Traditional Craftsperson; Window fitter / Conservatory installer,Kings Langley,https://www.ratedpeople.com/profile/a1-locksmiths,ratedpeople
A CONSTRUCTION PROFESSIONAL BUILDS LIMITED,,Garage Doors Installation Repair,Dagenham,,4.5,55,07784985626,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Dagenham,https://www.ratedpeople.com/profile/aconstructionbuilds,ratedpeople
Edgars Constructions Ltd,,Garage Doors Installation Repair,Wembley,,5,52,07852523230,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Wembley,https://www.ratedpeople.com/profile/all-in-one-handy-services,ratedpeople
Leonard Goli,,Garage Doors Installation Repair,London,,4.5,51,,ratings; memberSince,Carpenter / Joiner; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/leonard-goli,ratedpeople
MK 24/7 SERVICES LTD,,Garage Doors Installation Repair,Bristol,,5,62,,ratings; memberSince,Locksmith; Security systems / Alarms,Bristol,https://www.ratedpeople.com/profile/timurs-mjagkijs,ratedpeople
Cymraeg Construction,,Garage Doors Installation Repair,Blackwood,,4.5,58,07498190215,ratings,Carpenter / Joiner; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Blackwood,https://www.ratedpeople.com/profile/cymraeg-home-improvements,ratedpeople
R&M Electrical LTD,,Garage Doors Installation Repair,Cardiff,,5,56,,ratings; memberSince,Electrician; Builder; CCTV / Satellites / Alarms; Gas / Heating engineer; Loft Conversion Specialist; Security systems / Alarms; Specialist Tradesperson,Cardiff,https://www.ratedpeople.com/profile/relectrical,ratedpeople
Radek Kruk,,Garage Doors Installation Repair,Shepton Mallet,,5,44,,ratings; memberSince,Plumber; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; Carpenter / Joiner; Drainage Specialist; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plasterer / Renderer; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Shepton Mallet,https://www.ratedpeople.com/profile/radek-kruk,ratedpeople
365 Quality Services Limited,,Garage Doors Installation Repair,Cheltenham,,5,32,,ratings; memberSince,Painter and decorator; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Cheltenham,https://www.ratedpeople.com/profile/365-quality-services-limited,ratedpeople
Mike Colwill Contracting,,Garage Doors Installation Repair,146 High Street.,,5,30,,ratings; memberSince,Specialist Tradesperson; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Stoneworker / Stonemason; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,146 High Street.,https://www.ratedpeople.com/profile/mike-colwill-contracting,ratedpeople
Tilda Design,,Garage Doors Installation Repair,,,10,22,,,,,https://www.ratedpeople.com/profile/tilda-design,ratedpeople
Rdw Electrical,,Garage Doors Installation Repair,Pontypridd,,5,18,,ratings; memberSince,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Gas / Heating engineer; Handyperson; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Pontypridd,https://www.ratedpeople.com/profile/rdw-electrical,ratedpeople
sos.build,,Garage Doors Installation Repair,Caerphilly,,4.5,18,,Verified,Bricklayer; Bathroom fitter; Builder; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Caerphilly,https://www.ratedpeople.com/profile/sosbuild,ratedpeople
LCM Property Services,,Garage Doors Installation Repair,Bristol,,5,17,,ratings,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Cleaner; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Bristol,https://www.ratedpeople.com/profile/lcm-property-services,ratedpeople
JRH Construction,,Garage Doors Installation Repair,Tetbury,,4,22,07870519954,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Tetbury,https://www.ratedpeople.com/profile/th-and-jones-painting-and-decorating,ratedpeople
Two Counties Construction,,Garage Doors Installation Repair,Salisbury,,5,15,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Carpenter / Joiner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Window fitter / Conservatory installer,Salisbury,https://www.ratedpeople.com/profile/two-counties-construction,ratedpeople
Emerson Electrical & Building Services,,Garage Doors Installation Repair,Weston-super-Mare,,5,9,,ratings; memberSince; partp,Electrician; CCTV / Satellites / Alarms; Gas / Heating engineer; Locksmith; Plumber; Renewable Energy Specialist; Security systems / Alarms; Specialist Tradesperson,Weston-super-Mare,https://www.ratedpeople.com/profile/avon-alliance,ratedpeople
AMISTAD GROUP LTD,,Garage Doors Installation Repair,Swindon,,2.5,7,,ratings; memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Window fitter / Conservatory installer,Swindon,https://www.ratedpeople.com/profile/amistad-fm,ratedpeople
FIVE STAR FENCING & LANDSCAPING,,Garage Doors Installation Repair,Southery,,5,13,,ratings; memberSince,Gardener / Landscape gardeners; Blacksmith / Metal worker; Bricklayer; Builder; Carpenter / Joiner; Cleaner; Driveway pavers; Floor fitters; Handyperson; Pest Control; Plasterer / Renderer; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Traditional Craftsperson; Tree Surgeon,Southery,https://www.ratedpeople.com/profile/five-star-fencing-and-landscaping,ratedpeople
Paragon electrical ,,Garage Doors Installation Repair,Plymouth,,5,4,,partp,Electrician; CCTV / Satellites / Alarms; Carpenter / Joiner; Floor fitters; Gas / Heating engineer; Handyperson; Locksmith; Plumber; Renewable Energy Specialist; Security systems / Alarms,Plymouth,https://www.ratedpeople.com/profile/paragon-electrical-plymouth,ratedpeople
DNS Property Developments,,Garage Doors Installation Repair,Bridgend,,4,4,,memberSince,Builder; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Bridgend,https://www.ratedpeople.com/profile/dns-property-developments,ratedpeople
Smart Alarms,,Garage Doors Installation Repair,Manchester,,5,1,,,Security systems / Alarms; Blacksmith / Metal worker; CCTV / Satellites / Alarms; Electrician; Locksmith,Manchester,https://www.ratedpeople.com/profile/smart-alarms,ratedpeople
Rated People,,Garage Doors Installation Repair,London,,0,0,,memberSince,Electrician; Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Pest Control; Plasterer / Renderer; Plumber; Removal Services; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Swimming Pool Specialist; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,London,https://www.ratedpeople.com/profile/rated-people-2647620491143,ratedpeople
Fortify Locksmiths,,Garage Doors Installation Repair,Newcastle Upon Tyne,,5,48,,ratings; memberSince,Locksmith; Security systems / Alarms; Window fitter / Conservatory installer,Newcastle Upon Tyne,https://www.ratedpeople.com/profile/fortify-locksmiths,ratedpeople
Main Builder,,Garage Doors Installation Repair,Dumfries,,5,46,07846279269,ratings; memberSince,Bathroom fitter; Blacksmith / Metal worker; Bricklayer; Builder; CCTV / Satellites / Alarms; Carpenter / Joiner; Cleaner; Drainage Specialist; Driveway pavers; Electrician; Floor fitters; Gardener / Landscape gardeners; Gas / Heating engineer; Handyperson; Kitchen Specialist; Locksmith; Loft Conversion Specialist; Painter and decorator; Plasterer / Renderer; Plumber; Removal Services; Renewable Energy Specialist; Roofer; Security systems / Alarms; Specialist Tradesperson; Stoneworker / Stonemason; Tiler; Traditional Craftsperson; Tree Surgeon; Window fitter / Conservatory installer,Dumfries,https://www.ratedpeople.com/profile/main-builder,ratedpeople
Chorley fire and security ,,Garage Doors Installation Repair,Chorley,,5,19,,ratings,CCTV / Satellites / Alarms; Blacksmith / Metal worker; Electrician; Handyperson; Locksmith; Security systems / Alarms; Specialist Tradesperson,Chorley,https://www.ratedpeople.com/profile/chorley-fire-and-security,ratedpeople
Hadi Al Masalmeh,,Garage Doors Installation Repair,Manchester,,0,0,,,Security systems / Alarms; Blacksmith / Metal worker; CCTV / Satellites / Alarms; Electrician; Locksmith,Manchester,https://www.ratedpeople.com/profile/hadi-al-masalmeh,ratedpeople
Insite Teknical,,Garage Doors Installation Repair,Glasgow,,5,26,07956031026,ratings; memberSince,Security systems / Alarms; Blacksmith / Metal worker; CCTV / Satellites / Alarms; Electrician; Locksmith; Specialist Tradesperson,Glasgow,https://www.ratedpeople.com/profile/insite-teknical,ratedpeople
Smart Security Services,,Garage Doors Installation Repair,Glasgow,,5,9,,ratings; memberSince,Security systems / Alarms; Blacksmith / Metal worker; CCTV / Satellites / Alarms; Electrician; Locksmith; Specialist Tradesperson,Glasgow,https://www.ratedpeople.com/profile/smart-security-services-glasgow,ratedpeople
DJC FIRE & SECURITY LTD,,Garage Doors Installation Repair,Dundee,,5,1,,memberSince,Security systems / Alarms; Blacksmith / Metal worker; CCTV / Satellites / Alarms; Electrician; Locksmith; Specialist Tradesperson,Dundee,https://www.ratedpeople.com/profile/djc-fire-and-security-dundee,ratedpeople
